N	algorithm	layout	dim	k	privCopies	itemsPerThread	regs	blockSize	shmSize	seed	totalTime	normalizedTime
2M	cuda_cached_regs	aos	8	16	1	32	1	256	48k	1	2.47519	0.147533
2M	cuda_cached_regs	aos	8	16	1	32	1	256	48k	2	2.47593	0.147577
2M	cuda_cached_regs	aos	8	16	1	32	1	256	48k	3	2.47309	0.147408
2M	cuda_cached_regs	aos	8	16	1	32	1	256	48k	4	2.46068	0.146668
2M	cuda_cached_regs	aos	8	16	1	32	1	256	48k	5	2.47069	0.147265
2M	cuda_cached_regs	aos	8	16	1	32	2	256	48k	1	1.68401	0.100375
2M	cuda_cached_regs	aos	8	16	1	32	2	256	48k	2	1.69479	0.101017
2M	cuda_cached_regs	aos	8	16	1	32	2	256	48k	3	1.69393	0.100966
2M	cuda_cached_regs	aos	8	16	1	32	2	256	48k	4	1.69057	0.100766
2M	cuda_cached_regs	aos	8	16	1	32	2	256	48k	5	1.68913	0.10068
2M	cuda_cached_regs	aos	8	16	1	32	4	256	48k	1	2.12049	0.126391
2M	cuda_cached_regs	aos	8	16	1	32	4	256	48k	2	2.13124	0.127032
2M	cuda_cached_regs	aos	8	16	1	32	4	256	48k	3	2.12596	0.126717
2M	cuda_cached_regs	aos	8	16	1	32	4	256	48k	4	2.12504	0.126662
2M	cuda_cached_regs	aos	8	16	1	32	4	256	48k	5	2.12283	0.12653
2M	cuda_cached_regs	aos	8	16	1	64	1	256	48k	1	2.07034	0.123402
2M	cuda_cached_regs	aos	8	16	1	64	1	256	48k	2	2.06703	0.123204
2M	cuda_cached_regs	aos	8	16	1	64	1	256	48k	3	2.07555	0.123713
2M	cuda_cached_regs	aos	8	16	1	64	1	256	48k	4	2.07098	0.12344
2M	cuda_cached_regs	aos	8	16	1	64	1	256	48k	5	2.07046	0.123409
2M	cuda_cached_regs	aos	8	16	1	64	2	256	48k	1	1.2739	0.0759306
2M	cuda_cached_regs	aos	8	16	1	64	2	256	48k	2	1.25742	0.0749482
2M	cuda_cached_regs	aos	8	16	1	64	2	256	48k	3	1.26644	0.0754857
2M	cuda_cached_regs	aos	8	16	1	64	2	256	48k	4	1.26541	0.075424
2M	cuda_cached_regs	aos	8	16	1	64	2	256	48k	5	1.25781	0.0749716
2M	cuda_cached_regs	aos	8	16	1	64	4	256	48k	1	1.07248	0.0639247
2M	cuda_cached_regs	aos	8	16	1	64	4	256	48k	2	1.0772	0.0642063
2M	cuda_cached_regs	aos	8	16	1	64	4	256	48k	3	1.07193	0.0638919
2M	cuda_cached_regs	aos	8	16	1	64	4	256	48k	4	1.07615	0.0641436
2M	cuda_cached_regs	aos	8	16	1	64	4	256	48k	5	1.07207	0.0639004
2M	cuda_cached_regs	aos	8	64	1	32	1	256	48k	1	7.2987	0.435036
2M	cuda_cached_regs	aos	8	64	1	32	1	256	48k	2	7.30019	0.435125
2M	cuda_cached_regs	aos	8	64	1	32	1	256	48k	3	7.29582	0.434865
2M	cuda_cached_regs	aos	8	64	1	32	1	256	48k	4	7.3115	0.435799
2M	cuda_cached_regs	aos	8	64	1	32	1	256	48k	5	7.3007	0.435156
2M	cuda_cached_regs	aos	8	64	1	32	2	256	48k	1	4.12213	0.245698
2M	cuda_cached_regs	aos	8	64	1	32	2	256	48k	2	4.12582	0.245918
2M	cuda_cached_regs	aos	8	64	1	32	2	256	48k	3	4.11847	0.24548
2M	cuda_cached_regs	aos	8	64	1	32	2	256	48k	4	4.11955	0.245544
2M	cuda_cached_regs	aos	8	64	1	32	2	256	48k	5	4.12708	0.245993
2M	cuda_cached_regs	aos	8	64	1	32	4	256	48k	1	3.1339	0.186795
2M	cuda_cached_regs	aos	8	64	1	32	4	256	48k	2	3.14106	0.187222
2M	cuda_cached_regs	aos	8	64	1	32	4	256	48k	3	3.14348	0.187366
2M	cuda_cached_regs	aos	8	64	1	32	4	256	48k	4	3.1407	0.187201
2M	cuda_cached_regs	aos	8	64	1	32	4	256	48k	5	3.14497	0.187455
2M	cuda_cached_regs	aos	8	64	1	64	1	256	48k	1	6.72176	0.400648
2M	cuda_cached_regs	aos	8	64	1	64	1	256	48k	2	6.72426	0.400797
2M	cuda_cached_regs	aos	8	64	1	64	1	256	48k	3	6.72521	0.400854
2M	cuda_cached_regs	aos	8	64	1	64	1	256	48k	4	6.72927	0.401096
2M	cuda_cached_regs	aos	8	64	1	64	1	256	48k	5	6.73105	0.401202
2M	cuda_cached_regs	aos	8	64	1	64	2	256	48k	1	3.56161	0.212288
2M	cuda_cached_regs	aos	8	64	1	64	2	256	48k	2	3.57565	0.213125
2M	cuda_cached_regs	aos	8	64	1	64	2	256	48k	3	3.56282	0.212361
2M	cuda_cached_regs	aos	8	64	1	64	2	256	48k	4	3.56199	0.212311
2M	cuda_cached_regs	aos	8	64	1	64	2	256	48k	5	3.56073	0.212236
2M	cuda_cached_regs	aos	8	64	1	64	4	256	48k	1	2.63237	0.156902
2M	cuda_cached_regs	aos	8	64	1	64	4	256	48k	2	2.6402	0.157368
2M	cuda_cached_regs	aos	8	64	1	64	4	256	48k	3	2.6405	0.157386
2M	cuda_cached_regs	aos	8	64	1	64	4	256	48k	4	2.64029	0.157374
2M	cuda_cached_regs	aos	8	64	1	64	4	256	48k	5	2.64166	0.157455
2M	cuda_cached_regs	aos	8	256	1	32	1	256	48k	1	26.7705	1.59564
2M	cuda_cached_regs	aos	8	256	1	32	1	256	48k	2	26.7642	1.59527
2M	cuda_cached_regs	aos	8	256	1	32	1	256	48k	3	26.7638	1.59525
2M	cuda_cached_regs	aos	8	256	1	32	1	256	48k	4	26.7643	1.59528
2M	cuda_cached_regs	aos	8	256	1	32	1	256	48k	5	26.7632	1.59521
2M	cuda_cached_regs	aos	8	256	1	32	2	256	48k	1	13.7206	0.817809
2M	cuda_cached_regs	aos	8	256	1	32	2	256	48k	2	13.7191	0.817724
2M	cuda_cached_regs	aos	8	256	1	32	2	256	48k	3	13.7241	0.818018
2M	cuda_cached_regs	aos	8	256	1	32	2	256	48k	4	13.725	0.818076
2M	cuda_cached_regs	aos	8	256	1	32	2	256	48k	5	13.7178	0.817644
2M	cuda_cached_regs	aos	8	256	1	32	4	256	48k	1	9.9307	0.591916
2M	cuda_cached_regs	aos	8	256	1	32	4	256	48k	2	9.93212	0.592
2M	cuda_cached_regs	aos	8	256	1	32	4	256	48k	3	9.9313	0.591952
2M	cuda_cached_regs	aos	8	256	1	32	4	256	48k	4	9.92773	0.591739
2M	cuda_cached_regs	aos	8	256	1	32	4	256	48k	5	9.93258	0.592028
2M	cuda_cached_regs	aos	8	256	1	64	1	256	48k	1	25.3154	1.50892
2M	cuda_cached_regs	aos	8	256	1	64	1	256	48k	2	25.3159	1.50895
2M	cuda_cached_regs	aos	8	256	1	64	1	256	48k	3	25.3118	1.5087
2M	cuda_cached_regs	aos	8	256	1	64	1	256	48k	4	25.3121	1.50872
2M	cuda_cached_regs	aos	8	256	1	64	1	256	48k	5	25.3073	1.50843
2M	cuda_cached_regs	aos	8	256	1	64	2	256	48k	1	12.835	0.765024
2M	cuda_cached_regs	aos	8	256	1	64	2	256	48k	2	12.8371	0.76515
2M	cuda_cached_regs	aos	8	256	1	64	2	256	48k	3	12.8401	0.765332
2M	cuda_cached_regs	aos	8	256	1	64	2	256	48k	4	12.8361	0.765093
2M	cuda_cached_regs	aos	8	256	1	64	2	256	48k	5	12.8386	0.765241
2M	cuda_cached_regs	aos	8	256	1	64	4	256	48k	1	9.20536	0.548682
2M	cuda_cached_regs	aos	8	256	1	64	4	256	48k	2	9.20435	0.548622
2M	cuda_cached_regs	aos	8	256	1	64	4	256	48k	3	9.20449	0.54863
2M	cuda_cached_regs	aos	8	256	1	64	4	256	48k	4	9.21378	0.549184
2M	cuda_cached_regs	aos	8	256	1	64	4	256	48k	5	9.20919	0.54891
2M	cuda_cached_regs	aos	8	1024	1	32	1	256	48k	1	97.024	5.78308
2M	cuda_cached_regs	aos	8	1024	1	32	1	256	48k	2	97.0545	5.7849
2M	cuda_cached_regs	aos	8	1024	1	32	1	256	48k	3	96.9874	5.7809
2M	cuda_cached_regs	aos	8	1024	1	32	1	256	48k	4	97.0018	5.78176
2M	cuda_cached_regs	aos	8	1024	1	32	1	256	48k	5	97.0263	5.78322
2M	cuda_cached_regs	aos	8	1024	1	32	2	256	48k	1	48.1325	2.86892
2M	cuda_cached_regs	aos	8	1024	1	32	2	256	48k	2	48.1493	2.86992
2M	cuda_cached_regs	aos	8	1024	1	32	2	256	48k	3	48.1392	2.86932
2M	cuda_cached_regs	aos	8	1024	1	32	2	256	48k	4	48.1443	2.86962
2M	cuda_cached_regs	aos	8	1024	1	32	2	256	48k	5	48.1384	2.86927
2M	cuda_cached_regs	aos	8	1024	1	32	4	256	48k	1	34.2035	2.03869
2M	cuda_cached_regs	aos	8	1024	1	32	4	256	48k	2	34.2224	2.03981
2M	cuda_cached_regs	aos	8	1024	1	32	4	256	48k	3	34.2226	2.03982
2M	cuda_cached_regs	aos	8	1024	1	32	4	256	48k	4	34.2009	2.03853
2M	cuda_cached_regs	aos	8	1024	1	32	4	256	48k	5	34.2113	2.03915
2M	cuda_cached_regs	aos	8	1024	1	64	1	256	48k	1	92.0171	5.48464
2M	cuda_cached_regs	aos	8	1024	1	64	1	256	48k	2	91.9748	5.48212
2M	cuda_cached_regs	aos	8	1024	1	64	1	256	48k	3	91.971	5.4819
2M	cuda_cached_regs	aos	8	1024	1	64	1	256	48k	4	92.0167	5.48462
2M	cuda_cached_regs	aos	8	1024	1	64	1	256	48k	5	92.0186	5.48474
2M	cuda_cached_regs	aos	8	1024	1	64	2	256	48k	1	46.048	2.74468
2M	cuda_cached_regs	aos	8	1024	1	64	2	256	48k	2	46.0499	2.74479
2M	cuda_cached_regs	aos	8	1024	1	64	2	256	48k	3	50.2497	2.99512
2M	cuda_cached_regs	aos	8	1024	1	64	2	256	48k	4	47.6466	2.83996
2M	cuda_cached_regs	aos	8	1024	1	64	2	256	48k	5	47.6524	2.84031
2M	cuda_cached_regs	aos	8	1024	1	64	4	256	48k	1	32.779	1.95378
2M	cuda_cached_regs	aos	8	1024	1	64	4	256	48k	2	32.7809	1.95389
2M	cuda_cached_regs	aos	8	1024	1	64	4	256	48k	3	32.7682	1.95313
2M	cuda_cached_regs	aos	8	1024	1	64	4	256	48k	4	32.7452	1.95177
2M	cuda_cached_regs	aos	8	1024	1	64	4	256	48k	5	32.733	1.95104
2M	cuda_cached_regs	aos	8	4096	1	32	1	256	48k	1	389.49	23.2154
2M	cuda_cached_regs	aos	8	4096	1	32	1	256	48k	2	386.976	23.0656
2M	cuda_cached_regs	aos	8	4096	1	32	1	256	48k	3	387.878	23.1193
2M	cuda_cached_regs	aos	8	4096	1	32	1	256	48k	4	389.805	23.2342
2M	cuda_cached_regs	aos	8	4096	1	32	1	256	48k	5	387.228	23.0806
2M	cuda_cached_regs	aos	8	4096	1	32	2	256	48k	1	191.87	11.4363
2M	cuda_cached_regs	aos	8	4096	1	32	2	256	48k	2	191.266	11.4003
2M	cuda_cached_regs	aos	8	4096	1	32	2	256	48k	3	192.79	11.4912
2M	cuda_cached_regs	aos	8	4096	1	32	2	256	48k	4	191.626	11.4218
2M	cuda_cached_regs	aos	8	4096	1	32	2	256	48k	5	191.773	11.4306
2M	cuda_cached_regs	aos	8	4096	1	32	4	256	48k	1	135.193	8.05812
2M	cuda_cached_regs	aos	8	4096	1	32	4	256	48k	2	133.992	7.98657
2M	cuda_cached_regs	aos	8	4096	1	32	4	256	48k	3	135.188	8.05783
2M	cuda_cached_regs	aos	8	4096	1	32	4	256	48k	4	135.172	8.05687
2M	cuda_cached_regs	aos	8	4096	1	32	4	256	48k	5	134.665	8.02668
2M	cuda_cached_regs	aos	8	4096	1	64	1	256	48k	1	371.358	22.1347
2M	cuda_cached_regs	aos	8	4096	1	64	1	256	48k	2	371.169	22.1234
2M	cuda_cached_regs	aos	8	4096	1	64	1	256	48k	3	370.12	22.0609
2M	cuda_cached_regs	aos	8	4096	1	64	1	256	48k	4	370.327	22.0732
2M	cuda_cached_regs	aos	8	4096	1	64	1	256	48k	5	370.266	22.0696
2M	cuda_cached_regs	aos	8	4096	1	64	2	256	48k	1	184.674	11.0074
2M	cuda_cached_regs	aos	8	4096	1	64	2	256	48k	2	183.97	10.9655
2M	cuda_cached_regs	aos	8	4096	1	64	2	256	48k	3	184.434	10.9931
2M	cuda_cached_regs	aos	8	4096	1	64	2	256	48k	4	184.322	10.9864
2M	cuda_cached_regs	aos	8	4096	1	64	2	256	48k	5	185.221	11.04
2M	cuda_cached_regs	aos	8	4096	1	64	4	256	48k	1	128.781	7.67595
2M	cuda_cached_regs	aos	8	4096	1	64	4	256	48k	2	130.669	7.78847
2M	cuda_cached_regs	aos	8	4096	1	64	4	256	48k	3	129.952	7.74574
2M	cuda_cached_regs	aos	8	4096	1	64	4	256	48k	4	128.812	7.67778
2M	cuda_cached_regs	aos	8	4096	1	64	4	256	48k	5	130.574	7.78283
2M	cuda_cached_regs	aos	16	16	1	32	1	256	48k	1	3.32813	0.0991861
2M	cuda_cached_regs	aos	16	16	1	32	1	256	48k	2	3.32254	0.0990194
2M	cuda_cached_regs	aos	16	16	1	32	1	256	48k	3	3.3257	0.0991135
2M	cuda_cached_regs	aos	16	16	1	32	1	256	48k	4	3.3203	0.0989526
2M	cuda_cached_regs	aos	16	16	1	32	1	256	48k	5	3.32795	0.0991806
2M	cuda_cached_regs	aos	16	16	1	32	2	256	48k	1	2.30567	0.0687144
2M	cuda_cached_regs	aos	16	16	1	32	2	256	48k	2	2.3092	0.0688196
2M	cuda_cached_regs	aos	16	16	1	32	2	256	48k	3	2.29858	0.0685031
2M	cuda_cached_regs	aos	16	16	1	32	2	256	48k	4	2.29776	0.0684787
2M	cuda_cached_regs	aos	16	16	1	32	2	256	48k	5	2.30771	0.0687752
2M	cuda_cached_regs	aos	16	16	1	32	4	256	48k	1	3.20921	0.0956419
2M	cuda_cached_regs	aos	16	16	1	32	4	256	48k	2	3.1921	0.0951319
2M	cuda_cached_regs	aos	16	16	1	32	4	256	48k	3	3.19449	0.0952032
2M	cuda_cached_regs	aos	16	16	1	32	4	256	48k	4	3.19853	0.0953236
2M	cuda_cached_regs	aos	16	16	1	32	4	256	48k	5	3.18603	0.0949512
2M	cuda_cached_regs	aos	16	16	1	64	1	256	48k	1	2.92402	0.0871426
2M	cuda_cached_regs	aos	16	16	1	64	1	256	48k	2	2.91421	0.0868503
2M	cuda_cached_regs	aos	16	16	1	64	1	256	48k	3	2.92426	0.0871498
2M	cuda_cached_regs	aos	16	16	1	64	1	256	48k	4	2.92515	0.0871761
2M	cuda_cached_regs	aos	16	16	1	64	1	256	48k	5	2.92718	0.0872368
2M	cuda_cached_regs	aos	16	16	1	64	2	256	48k	1	1.81362	0.0540501
2M	cuda_cached_regs	aos	16	16	1	64	2	256	48k	2	1.82096	0.0542687
2M	cuda_cached_regs	aos	16	16	1	64	2	256	48k	3	1.81368	0.054052
2M	cuda_cached_regs	aos	16	16	1	64	2	256	48k	4	1.81061	0.0539604
2M	cuda_cached_regs	aos	16	16	1	64	2	256	48k	5	1.81738	0.0541622
2M	cuda_cached_regs	aos	16	16	1	64	4	256	48k	1	1.69874	0.0506263
2M	cuda_cached_regs	aos	16	16	1	64	4	256	48k	2	1.69892	0.0506318
2M	cuda_cached_regs	aos	16	16	1	64	4	256	48k	3	1.70341	0.0507655
2M	cuda_cached_regs	aos	16	16	1	64	4	256	48k	4	1.72309	0.0513521
2M	cuda_cached_regs	aos	16	16	1	64	4	256	48k	5	1.69581	0.0505392
2M	cuda_cached_regs	aos	16	64	1	32	1	256	48k	1	10.7099	0.31918
2M	cuda_cached_regs	aos	16	64	1	32	1	256	48k	2	10.7105	0.319198
2M	cuda_cached_regs	aos	16	64	1	32	1	256	48k	3	10.706	0.319064
2M	cuda_cached_regs	aos	16	64	1	32	1	256	48k	4	10.7159	0.319359
2M	cuda_cached_regs	aos	16	64	1	32	1	256	48k	5	10.7095	0.319169
2M	cuda_cached_regs	aos	16	64	1	32	2	256	48k	1	6.12738	0.18261
2M	cuda_cached_regs	aos	16	64	1	32	2	256	48k	2	6.13485	0.182833
2M	cuda_cached_regs	aos	16	64	1	32	2	256	48k	3	6.13794	0.182925
2M	cuda_cached_regs	aos	16	64	1	32	2	256	48k	4	6.13857	0.182944
2M	cuda_cached_regs	aos	16	64	1	32	2	256	48k	5	6.13935	0.182967
2M	cuda_cached_regs	aos	16	64	1	32	4	256	48k	1	4.60238	0.137161
2M	cuda_cached_regs	aos	16	64	1	32	4	256	48k	2	4.59129	0.136831
2M	cuda_cached_regs	aos	16	64	1	32	4	256	48k	3	4.59373	0.136904
2M	cuda_cached_regs	aos	16	64	1	32	4	256	48k	4	4.60153	0.137136
2M	cuda_cached_regs	aos	16	64	1	32	4	256	48k	5	4.60604	0.137271
2M	cuda_cached_regs	aos	16	64	1	64	1	256	48k	1	9.82186	0.292714
2M	cuda_cached_regs	aos	16	64	1	64	1	256	48k	2	9.82527	0.292816
2M	cuda_cached_regs	aos	16	64	1	64	1	256	48k	3	9.83012	0.29296
2M	cuda_cached_regs	aos	16	64	1	64	1	256	48k	4	9.81741	0.292582
2M	cuda_cached_regs	aos	16	64	1	64	1	256	48k	5	9.82513	0.292812
2M	cuda_cached_regs	aos	16	64	1	64	2	256	48k	1	5.41538	0.161391
2M	cuda_cached_regs	aos	16	64	1	64	2	256	48k	2	5.41468	0.16137
2M	cuda_cached_regs	aos	16	64	1	64	2	256	48k	3	5.41038	0.161242
2M	cuda_cached_regs	aos	16	64	1	64	2	256	48k	4	5.41448	0.161364
2M	cuda_cached_regs	aos	16	64	1	64	2	256	48k	5	5.41494	0.161378
2M	cuda_cached_regs	aos	16	64	1	64	4	256	48k	1	3.91212	0.11659
2M	cuda_cached_regs	aos	16	64	1	64	4	256	48k	2	3.91683	0.116731
2M	cuda_cached_regs	aos	16	64	1	64	4	256	48k	3	3.93211	0.117186
2M	cuda_cached_regs	aos	16	64	1	64	4	256	48k	4	3.92747	0.117048
2M	cuda_cached_regs	aos	16	64	1	64	4	256	48k	5	3.92173	0.116877
2M	cuda_cached_regs	aos	16	256	1	32	1	256	48k	1	40.1675	1.19709
2M	cuda_cached_regs	aos	16	256	1	32	1	256	48k	2	40.1651	1.19701
2M	cuda_cached_regs	aos	16	256	1	32	1	256	48k	3	38.9565	1.16099
2M	cuda_cached_regs	aos	16	256	1	32	1	256	48k	4	38.9661	1.16128
2M	cuda_cached_regs	aos	16	256	1	32	1	256	48k	5	38.9783	1.16164
2M	cuda_cached_regs	aos	16	256	1	32	2	256	48k	1	21.0479	0.627276
2M	cuda_cached_regs	aos	16	256	1	32	2	256	48k	2	21.0312	0.626778
2M	cuda_cached_regs	aos	16	256	1	32	2	256	48k	3	21.0322	0.626809
2M	cuda_cached_regs	aos	16	256	1	32	2	256	48k	4	21.0363	0.626929
2M	cuda_cached_regs	aos	16	256	1	32	2	256	48k	5	21.0525	0.627414
2M	cuda_cached_regs	aos	16	256	1	32	4	256	48k	1	14.7088	0.438355
2M	cuda_cached_regs	aos	16	256	1	32	4	256	48k	2	14.6979	0.438032
2M	cuda_cached_regs	aos	16	256	1	32	4	256	48k	3	14.6961	0.437977
2M	cuda_cached_regs	aos	16	256	1	32	4	256	48k	4	14.7077	0.438324
2M	cuda_cached_regs	aos	16	256	1	32	4	256	48k	5	14.7049	0.438239
2M	cuda_cached_regs	aos	16	256	1	64	1	256	48k	1	36.4536	1.0864
2M	cuda_cached_regs	aos	16	256	1	64	1	256	48k	2	37.5813	1.12001
2M	cuda_cached_regs	aos	16	256	1	64	1	256	48k	3	37.5921	1.12033
2M	cuda_cached_regs	aos	16	256	1	64	1	256	48k	4	36.4677	1.08682
2M	cuda_cached_regs	aos	16	256	1	64	1	256	48k	5	36.4631	1.08668
2M	cuda_cached_regs	aos	16	256	1	64	2	256	48k	1	19.4253	0.578919
2M	cuda_cached_regs	aos	16	256	1	64	2	256	48k	2	19.4235	0.578865
2M	cuda_cached_regs	aos	16	256	1	64	2	256	48k	3	19.4114	0.578504
2M	cuda_cached_regs	aos	16	256	1	64	2	256	48k	4	19.4035	0.578268
2M	cuda_cached_regs	aos	16	256	1	64	2	256	48k	5	19.419	0.578731
2M	cuda_cached_regs	aos	16	256	1	64	4	256	48k	1	13.6769	0.407605
2M	cuda_cached_regs	aos	16	256	1	64	4	256	48k	2	13.684	0.407816
2M	cuda_cached_regs	aos	16	256	1	64	4	256	48k	3	13.6858	0.407869
2M	cuda_cached_regs	aos	16	256	1	64	4	256	48k	4	13.6835	0.4078
2M	cuda_cached_regs	aos	16	256	1	64	4	256	48k	5	13.694	0.408113
2M	cuda_cached_regs	aos	16	1024	1	32	1	256	48k	1	145.183	4.32678
2M	cuda_cached_regs	aos	16	1024	1	32	1	256	48k	2	145.226	4.32807
2M	cuda_cached_regs	aos	16	1024	1	32	1	256	48k	3	145.189	4.32697
2M	cuda_cached_regs	aos	16	1024	1	32	1	256	48k	4	146.018	4.35168
2M	cuda_cached_regs	aos	16	1024	1	32	1	256	48k	5	147.076	4.3832
2M	cuda_cached_regs	aos	16	1024	1	32	2	256	48k	1	77.8952	2.32146
2M	cuda_cached_regs	aos	16	1024	1	32	2	256	48k	2	77.9299	2.32249
2M	cuda_cached_regs	aos	16	1024	1	32	2	256	48k	3	77.2386	2.30189
2M	cuda_cached_regs	aos	16	1024	1	32	2	256	48k	4	84.3292	2.51321
2M	cuda_cached_regs	aos	16	1024	1	32	2	256	48k	5	77.2303	2.30164
2M	cuda_cached_regs	aos	16	1024	1	32	4	256	48k	1	53.558	1.59615
2M	cuda_cached_regs	aos	16	1024	1	32	4	256	48k	2	53.5707	1.59653
2M	cuda_cached_regs	aos	16	1024	1	32	4	256	48k	3	53.0808	1.58193
2M	cuda_cached_regs	aos	16	1024	1	32	4	256	48k	4	53.0771	1.58182
2M	cuda_cached_regs	aos	16	1024	1	32	4	256	48k	5	53.0887	1.58217
2M	cuda_cached_regs	aos	16	1024	1	64	1	256	48k	1	136.709	4.07425
2M	cuda_cached_regs	aos	16	1024	1	64	1	256	48k	2	138.103	4.11578
2M	cuda_cached_regs	aos	16	1024	1	64	1	256	48k	3	137.641	4.10201
2M	cuda_cached_regs	aos	16	1024	1	64	1	256	48k	4	137.802	4.10682
2M	cuda_cached_regs	aos	16	1024	1	64	1	256	48k	5	138.097	4.1156
2M	cuda_cached_regs	aos	16	1024	1	64	2	256	48k	1	72.9403	2.17379
2M	cuda_cached_regs	aos	16	1024	1	64	2	256	48k	2	71.7885	2.13946
2M	cuda_cached_regs	aos	16	1024	1	64	2	256	48k	3	71.7989	2.13977
2M	cuda_cached_regs	aos	16	1024	1	64	2	256	48k	4	71.7953	2.13967
2M	cuda_cached_regs	aos	16	1024	1	64	2	256	48k	5	72.4778	2.16001
2M	cuda_cached_regs	aos	16	1024	1	64	4	256	48k	1	50.1332	1.49409
2M	cuda_cached_regs	aos	16	1024	1	64	4	256	48k	2	50.1377	1.49422
2M	cuda_cached_regs	aos	16	1024	1	64	4	256	48k	3	50.484	1.50454
2M	cuda_cached_regs	aos	16	1024	1	64	4	256	48k	4	54.6459	1.62858
2M	cuda_cached_regs	aos	16	1024	1	64	4	256	48k	5	54.658	1.62893
2M	cuda_cached_regs	aos	16	4096	1	32	1	256	48k	1	583.941	17.4028
2M	cuda_cached_regs	aos	16	4096	1	32	1	256	48k	2	583.129	17.3786
2M	cuda_cached_regs	aos	16	4096	1	32	1	256	48k	3	583.27	17.3828
2M	cuda_cached_regs	aos	16	4096	1	32	1	256	48k	4	583.127	17.3785
2M	cuda_cached_regs	aos	16	4096	1	32	1	256	48k	5	583.373	17.3859
2M	cuda_cached_regs	aos	16	4096	1	32	2	256	48k	1	310.629	9.25746
2M	cuda_cached_regs	aos	16	4096	1	32	2	256	48k	2	309.533	9.22479
2M	cuda_cached_regs	aos	16	4096	1	32	2	256	48k	3	309.409	9.22112
2M	cuda_cached_regs	aos	16	4096	1	32	2	256	48k	4	309.574	9.22602
2M	cuda_cached_regs	aos	16	4096	1	32	2	256	48k	5	309.544	9.22513
2M	cuda_cached_regs	aos	16	4096	1	32	4	256	48k	1	210.291	6.26716
2M	cuda_cached_regs	aos	16	4096	1	32	4	256	48k	2	223.548	6.66226
2M	cuda_cached_regs	aos	16	4096	1	32	4	256	48k	3	211.118	6.2918
2M	cuda_cached_regs	aos	16	4096	1	32	4	256	48k	4	209.938	6.25665
2M	cuda_cached_regs	aos	16	4096	1	32	4	256	48k	5	210.172	6.26361
2M	cuda_cached_regs	aos	16	4096	1	64	1	256	48k	1	550.297	16.4001
2M	cuda_cached_regs	aos	16	4096	1	64	1	256	48k	2	549.994	16.3911
2M	cuda_cached_regs	aos	16	4096	1	64	1	256	48k	3	549.852	16.3869
2M	cuda_cached_regs	aos	16	4096	1	64	1	256	48k	4	549.779	16.3847
2M	cuda_cached_regs	aos	16	4096	1	64	1	256	48k	5	550.636	16.4102
2M	cuda_cached_regs	aos	16	4096	1	64	2	256	48k	1	288.707	8.60415
2M	cuda_cached_regs	aos	16	4096	1	64	2	256	48k	2	289.4	8.62478
2M	cuda_cached_regs	aos	16	4096	1	64	2	256	48k	3	289.402	8.62485
2M	cuda_cached_regs	aos	16	4096	1	64	2	256	48k	4	289.964	8.64161
2M	cuda_cached_regs	aos	16	4096	1	64	2	256	48k	5	302.771	9.02328
2M	cuda_cached_regs	aos	16	4096	1	64	4	256	48k	1	200.015	5.96091
2M	cuda_cached_regs	aos	16	4096	1	64	4	256	48k	2	200.068	5.96249
2M	cuda_cached_regs	aos	16	4096	1	64	4	256	48k	3	199.993	5.96025
2M	cuda_cached_regs	aos	16	4096	1	64	4	256	48k	4	201.239	5.99739
2M	cuda_cached_regs	aos	16	4096	1	64	4	256	48k	5	200.052	5.96202
2M	cuda_cached_regs	aos	32	16	1	32	1	256	48k	1	4.73109	0.0704987
2M	cuda_cached_regs	aos	32	16	1	32	1	256	48k	2	4.72839	0.0704586
2M	cuda_cached_regs	aos	32	16	1	32	1	256	48k	3	4.73053	0.0704904
2M	cuda_cached_regs	aos	32	16	1	32	1	256	48k	4	4.72842	0.070459
2M	cuda_cached_regs	aos	32	16	1	32	1	256	48k	5	4.73191	0.070511
2M	cuda_cached_regs	aos	32	16	1	32	2	256	48k	1	3.5309	0.0526145
2M	cuda_cached_regs	aos	32	16	1	32	2	256	48k	2	3.53394	0.0526598
2M	cuda_cached_regs	aos	32	16	1	32	2	256	48k	3	3.52099	0.0524669
2M	cuda_cached_regs	aos	32	16	1	32	2	256	48k	4	3.52217	0.0524845
2M	cuda_cached_regs	aos	32	16	1	32	2	256	48k	5	3.53662	0.0526997
2M	cuda_cached_regs	aos	32	16	1	32	4	256	48k	1	5.0346	0.0750215
2M	cuda_cached_regs	aos	32	16	1	32	4	256	48k	2	5.03732	0.0750619
2M	cuda_cached_regs	aos	32	16	1	32	4	256	48k	3	5.04763	0.0752155
2M	cuda_cached_regs	aos	32	16	1	32	4	256	48k	4	5.03416	0.0750149
2M	cuda_cached_regs	aos	32	16	1	32	4	256	48k	5	5.05485	0.0753231
2M	cuda_cached_regs	aos	32	16	1	64	1	256	48k	1	4.66206	0.0694701
2M	cuda_cached_regs	aos	32	16	1	64	1	256	48k	2	4.6696	0.0695825
2M	cuda_cached_regs	aos	32	16	1	64	1	256	48k	3	4.67602	0.0696782
2M	cuda_cached_regs	aos	32	16	1	64	1	256	48k	4	4.6837	0.0697925
2M	cuda_cached_regs	aos	32	16	1	64	1	256	48k	5	4.67118	0.0696059
2M	cuda_cached_regs	aos	32	16	1	64	2	256	48k	1	3.19236	0.0475698
2M	cuda_cached_regs	aos	32	16	1	64	2	256	48k	2	3.15808	0.0470591
